customer_id,customer_name,city,signup_date,segment
CUST001,Anitha Sharma,Mumbai,2025-11-02,regular
CUST002,Rahul Nair,Delhi,2025-01-17,Regular
CUST003,Priya Raj,Mumbai,2025-07-03,Regular
CUST004,Kavya Pillai,Chennai,2025-10-04,Regular
CUST005,Priya Pillai,Chennai,2025-04-02,Regular
CUST006,Suresh Pillai,Bengaluru,2025-09-04,Regular
CUST007,Vikram Raj,Delhi,2025-10-21,Regular
CUST008,Ganesh Raj,Delhi,2025-12-03,Regular
CUST009,Divya Das,Coimbatore,2025-09-14,Regular
CUST010,Deepa Das,Hyderabad,2025-05-08,Regular
CUST011,Karthik Raj,Delhi,2025-05-17,Premium
CUST012,Anitha Das,Hyderabad,2025-10-03,Regular
CUST013,Ravi Sharma,Hyderabad,2025-03-16,Premium
CUST014,Priya Raj,Delhi,2025-10-26,Regular
CUST015,Anitha Nair,Delhi,2025-08-19,Premium
CUST016,Kavya Raj,Hyderabad,2025-08-23,Regular
CUST017,Priya Reddy,Coimbatore,2025-10-22,Premium
CUST018,Suresh Pillai,Coimbatore,2025-06-01,Premium
CUST019,Ganesh Sharma,Delhi,2025-02-16,Regular
CUST020,Divya Reddy,Bengaluru,2025-12-08,Premium
CUST021,Lakshmi Das,Chennai,2025-03-15,Premium
CUST022,Meena Sharma,Mumbai,2025-09-09,Premium
CUST023,Ganesh Pillai,Bengaluru,2025-03-03,Regular
CUST024,Sneha Iyer,Coimbatore,2025-04-01,Premium
CUST025,Vikram Reddy,Hyderabad,2025-01-05,Premium
CUST007,Vikram Raj,Mumbai,2025-10-21,Premium
CUST026,Ganesh Nair,Bengaluru,2025-12-28,Regular
CUST027,Deepa Pillai,Mumbai,2025-07-13,Regular
CUST028,Mani Pillai,Chennai,2025-04-03,Regular
CUST029,Deepa Sharma,Chennai,2025-06-20,Regular
CUST030,Rahul Kumar,Delhi,2025-03-18,Regular
CUST031,Ganesh Kumar,Chennai,2025-04-20,Premium
CUST032,Sneha Reddy,Hyderabad,2025-10-12,Premium
CUST033,Rahul Raj,Mumbai,2025-08-16,Premium
CUST034,Suresh Raj,Bengaluru,2025-02-24,Regular
CUST035,Meena Das,Coimbatore,2025-03-17,Regular
CUST036,Divya Nair,Bengaluru,2025-12-18,Regular
CUST037,Suresh Raj,Coimbatore,2025-05-17,Regular
CUST038,Vikram Nair,Bengaluru,2025-09-18,Regular
CUST039,Karthik Iyer,Bengaluru,2025-07-24,Regular
CUST040,Divya Das,Hyderabad,2025-12-01,Regular
