order_id,customer_id,order_date,product,quantity,unit_price,customer_name,city,signup_date,segment,_merge,total_amount
ORD0037,CUST012,2026-09-01,Keyboard,1,1083,Anitha Das,Hyderabad,2025-03-10,Regular,both,1083
ORD0016,CUST031,2026-08-01,Laptop,2,54037,Ganesh Kumar,Chennai,2025-04-20,Premium,both,108074
ORD0013,CUST027,2026-02-17,Headphones,5,1989,Deepa Pillai,Mumbai,2025-07-13,Regular,both,9945
ORD0030,CUST017,2026-05-19,Monitor,4,9984,Priya Reddy,Coimbatore,2025-10-22,Premium,both,39936
ORD0063,CUST008,2026-01-16,Headphones,1,2128,Ganesh Raj,Delhi,2025-03-12,Regular,both,2128
ORD0071,CUST019,2026-04-13,Keyboard,5,1099,Ganesh Sharma,Delhi,2025-02-16,Regular,both,5495
ORD0135,CUST006,2026-09-06,Webcam,4,1765,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,7060
ORD0144,CUST025,2026-05-23,Laptop,2,59991,Vikram Reddy,Hyderabad,2025-05-01,Premium,both,119982
ORD0025,CUST028,2026-07-04,Headphones,3,2143,Mani Pillai,Chennai,2025-03-04,Regular,both,6429
ORD0061,CUST150,2026-09-04,Laptop,1,53066,,,,,left_only,53066
ORD0023,CUST024,2026-02-15,Mouse,2,635,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,1270
ORD0054,CUST002,2026-04-03,Laptop,4,56895,Rahul Nair,Delhi,2025-01-17,Regular,both,227580
ORD0098,CUST022,2026-06-13,Webcam,2,1623,Meena Sharma,Mumbai,2025-09-09,Premium,both,3246
ORD0084,CUST025,2026-01-16,Keyboard,3,1227,Vikram Reddy,Hyderabad,2025-05-01,Premium,both,3681
ORD0103,CUST010,2026-06-01,Monitor,4,9470,Deepa Das,Hyderabad,2025-08-05,Regular,both,37880
ORD0080,CUST032,2026-03-25,Headphones,4,2198,Sneha Reddy,Hyderabad,2025-12-10,Premium,both,8792
ORD0150,CUST024,2026-01-02,Monitor,1,9817,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,9817
ORD0120,CUST150,2026-03-01,Mouse,3,619,,,,,left_only,1857
ORD0140,CUST001,2026-06-26,Laptop,4,50958,Anitha Sharma,Mumbai,2025-02-11,Regular,both,203832
ORD0128,CUST024,2026-04-02,Laptop,1,52605,Sneha Iyer,Coimbatore,2025-01-04,Premium,both,52605
ORD0008,CUST031,2026-02-18,Webcam,5,1687,Ganesh Kumar,Chennai,2025-04-20,Premium,both,8435
ORD0018,CUST021,2026-05-17,Headphones,2,2334,Lakshmi Das,Chennai,2025-03-15,Premium,both,4668
ORD0039,CUST029,2026-06-14,Laptop,4,58444,Deepa Sharma,Chennai,2025-06-20,Regular,both,233776
ORD0091,CUST003,2026-02-21,Webcam,3,1890,Priya Raj,Mumbai,2025-03-07,Regular,both,5670
ORD0122,CUST015,2026-05-22,Mouse,2,635,Anitha Nair,Delhi,2025-08-19,Premium,both,1270
ORD0057,CUST006,2026-06-24,Webcam,4,1749,Suresh Pillai,Bengaluru,2025-04-09,Regular,both,6996
ORD0117,CUST020,2026-08-05,Webcam,3,1783,Divya Reddy,Bengaluru,2025-08-12,Premium,both,5349
ORD0086,CUST018,2026-06-15,Mouse,4,579,Suresh Pillai,Coimbatore,2025-01-06,Premium,both,2316
ORD0148,CUST003,2026-01-13,Webcam,5,1853,Priya Raj,Mumbai,2025-03-07,Regular,both,9265
ORD0002,CUST023,2026-08-01,Keyboard,4,1130,Ganesh Pillai,Bengaluru,2025-03-03,Regular,both,4520
ORD0046,CUST003,2026-01-02,Keyboard,3,1177,Priya Raj,Mumbai,2025-03-07,Regular,both,3531
