order_id,order_date,customer_name,city,product,quantity,unit_price,payment_mode,total_amount
ORD0081,2026-04-03,Priya,Mumbai,Headphones,1,2038,Cash,2038
ORD0005,2026-02-12,Sneha,Chennai,Keyboard,3,1121,Card,3363
ORD0180,2026-02-04,Vikram,Bengaluru,Headphones,1,2284,NetBanking,2284
ORD0108,2026-06-18,Divya,Chennai,Keyboard,2,1135,Card,2270
ORD0075,2026-05-01,Vikram,Delhi,Laptop,4,53330,,213320
ORD0121,2026-04-08,Vikram,Delhi,Mouse,2,641,Card,1282
ORD0127,2026-02-13,Priya,Hyderabad,Webcam,3,1783,Card,5349
ORD0171,2026-12-05,Divya,Bengaluru,Monitor,2,9554,Cash,19108
ORD0064,2026-01-16,Vikram,,Monitor,2,9340,NetBanking,18680
ORD0106,2026-03-02,Vikram,Chennai,Headphones,4,2055,,8220
ORD0138,2026-05-12,Sneha,Hyderabad,Monitor,4,9199,NetBanking,36796
ORD0159,2026-07-03,Arun,Bengaluru,Headphones,4,2091,NetBanking,8364
ORD0137,2026-04-20,Rahul,Hyderabad,Webcam,3,1949,Cash,5847
ORD0112,2026-02-26,Karthik,Chennai,Monitor,2,9843,UPI,19686
ORD0172,2026-04-24,Vikram,Chennai,Mouse,2,588,Cash,1176
ORD0135,2026-01-04,Divya,Bengaluru,Webcam,2,1676,NetBanking,3352
ORD0094,2026-02-25,Priya,Delhi,Keyboard,3,1136,Card,3408
ORD0020,2026-08-03,Kavya,Hyderabad,Keyboard,3,1132,UPI,3396
ORD0156,2026-06-21,Karthik,Chennai,Headphones,2,2356,Cash,4712
ORD0100,2026-06-19,Vikram,Hyderabad,Mouse,1,582,UPI,582
ORD0017,2026-03-13,Sneha,Mumbai,Mouse,1,588,NetBanking,588
ORD0147,2026-06-14,Karthik,Delhi,Webcam,3,1930,UPI,5790
ORD0145,2026-08-01,Divya,Bengaluru,Mouse,3,601,UPI,1803
ORD0067,2026-01-01,Arun,Hyderabad,Mouse,3,628,NetBanking,1884
ORD0131,2026-05-22,Kavya,Chennai,Keyboard,5,1291,Cash,6455
ORD0035,2026-06-20,Divya,Delhi,Headphones,4,2142,NetBanking,8568
ORD0049,2026-04-24,Sneha,,Mouse,2,564,Cash,1128
ORD0038,2026-04-25,Rahul,Mumbai,Laptop,3,55263,Cash,165789
ORD0010,2026-07-02,Kavya,Delhi,Webcam,5,1879,Cash,9395
ORD0056,2026-01-09,Rahul,Delhi,Webcam,5,1785,Cash,8925
ORD0176,2026-06-14,Kavya,Hyderabad,Keyboard,3,1192,Cash,3576
ORD0070,2026-05-13,Sneha,Hyderabad,Monitor,2,8768,UPI,17536
ORD0003,2026-01-13,Vikram,Delhi,Keyboard,1,1106,UPI,1106
ORD0062,2026-09-04,Sneha,Chennai,Mouse,1,650,NetBanking,650
ORD0118,2026-12-04,Sneha,Bengaluru,Headphones,5,2050,NetBanking,10250
ORD0002,2026-05-01,Divya,Bengaluru,Mouse,5,604,Card,3020
ORD0164,2026-02-01,Karthik,Hyderabad,Mouse,1,548,NetBanking,548
ORD0146,2026-10-02,Sneha,Chennai,Webcam,4,1680,Card,6720
ORD0083,2026-05-20,Karthik,Delhi,Webcam,4,1786,Card,7144
ORD0057,2026-02-09,Divya,Mumbai,Headphones,4,2313,Cash,9252
ORD0028,2026-05-22,Arun,,Webcam,4,1880,Cash,7520
ORD0044,2026-04-04,Karthik,Bengaluru,Monitor,4,10234,Cash,40936
ORD0160,2026-03-18,Divya,Mumbai,Monitor,2,10424,NetBanking,20848
ORD0120,2026-01-23,Sneha,Hyderabad,Keyboard,3,1250,Card,3750
ORD0052,2026-04-13,Sneha,Delhi,Headphones,5,2095,UPI,10475
ORD0167,2026-04-13,Karthik,Chennai,Webcam,1,1636,NetBanking,1636
ORD0033,2026-04-15,Rahul,Mumbai,Monitor,1,9801,UPI,9801
ORD0136,2026-03-18,Karthik,Delhi,Mouse,2,606,Cash,1212
ORD0154,2026-06-08,Divya,Mumbai,Headphones,1,2324,UPI,2324
ORD0013,2026-02-19,Priya,Chennai,Headphones,2,2263,UPI,4526
ORD0061,2026-06-16,Sneha,Mumbai,Laptop,2,60112,Card,120224
ORD0073,2026-02-27,Karthik,Hyderabad,Headphones,3,2236,UPI,6708
ORD0123,2026-05-14,Priya,Delhi,Headphones,2,2073,Card,4146
ORD0065,2026-03-26,Divya,Chennai,Mouse,4,549,NetBanking,2196
ORD0004,2026-02-19,Priya,Chennai,Webcam,3,1936,Card,5808
ORD0078,2026-03-13,Priya,,Webcam,1,1803,UPI,1803
ORD0029,2026-01-17,Rahul,Hyderabad,Keyboard,5,1191,Card,5955
ORD0071,2026-03-27,Vikram,Bengaluru,Laptop,4,59435,Card,237740
ORD0021,2026-03-17,Vikram,Chennai,Laptop,2,58308,Cash,116616
ORD0003,2026-01-13,Vikram,Delhi,Keyboard,1,1106,UPI,1106
ORD0114,2026-11-02,Karthik,,Webcam,4,1845,NetBanking,7380
ORD0153,2026-06-07,Arun,Mumbai,Keyboard,3,1119,,3357
ORD0032,2026-01-22,Vikram,Chennai,Monitor,2,10175,,20350
ORD0166,2026-09-03,Divya,Chennai,Mouse,5,619,Card,3095
ORD0087,2026-05-25,Arun,Delhi,Monitor,5,10280,Card,51400
ORD0178,2026-02-23,Sneha,Chennai,Headphones,4,1993,NetBanking,7972
ORD0084,2026-01-24,Divya,,Monitor,4,9366,NetBanking,37464
ORD0125,2026-01-02,Arun,Delhi,Keyboard,5,1295,UPI,6475
ORD0072,2026-02-05,Kavya,Chennai,Keyboard,4,1281,Card,5124
ORD0099,2026-06-02,Vikram,Chennai,Keyboard,5,1253,Cash,6265
ORD0054,2026-06-09,Rahul,Mumbai,Monitor,2,8695,Cash,17390
ORD0179,2026-04-26,Karthik,Delhi,Mouse,4,631,NetBanking,2524
ORD0066,2026-05-02,Rahul,Hyderabad,Monitor,5,10336,UPI,51680
ORD0019,2026-02-22,Priya,Delhi,Laptop,1,59249,NetBanking,59249
ORD0132,2026-02-02,Vikram,Mumbai,Headphones,1,2000,Card,2000
ORD0109,2026-01-18,Rahul,Bengaluru,Laptop,5,57689,NetBanking,288445
ORD0092,2026-06-13,Divya,Chennai,Webcam,1,1801,NetBanking,1801
ORD0040,2026-11-03,Sneha,Mumbai,Keyboard,4,1134,UPI,4536
ORD0031,2026-05-20,Divya,Delhi,Monitor,2,9937,Cash,19874
ORD0016,2026-01-04,Arun,Chennai,Laptop,5,56760,NetBanking,283800
ORD0098,2026-06-17,Arun,Bengaluru,Keyboard,1,1262,Card,1262
ORD0150,2026-03-01,Vikram,,Webcam,5,1731,NetBanking,8655
ORD0011,2026-05-08,Priya,Mumbai,Keyboard,-2,1141,Card,-2282
ORD0093,2026-02-11,Karthik,Hyderabad,Laptop,1,56136,NetBanking,56136
ORD0095,2026-06-06,Karthik,Delhi,Headphones,1,2058,Cash,2058
ORD0173,2026-01-14,Priya,,Headphones,5,2264,NetBanking,11320
ORD0023,2026-04-17,Arun,Chennai,Webcam,3,1944,Cash,5832
ORD0162,2026-05-16,Vikram,Hyderabad,Headphones,2,2406,NetBanking,4812
ORD0105,2026-02-06,Vikram,Delhi,Mouse,3,651,UPI,1953
ORD0046,2026-03-26,Sneha,Delhi,Monitor,3,8984,Card,26952
ORD0140,2026-02-08,Rahul,Bengaluru,Headphones,5,2359,UPI,11795
ORD0152,2026-06-05,Arun,Chennai,Headphones,5,2181,NetBanking,10905
ORD0126,2026-06-26,Sneha,Mumbai,Keyboard,2,1203,NetBanking,2406
ORD0128,2026-02-28,Vikram,Bengaluru,Headphones,2,2194,NetBanking,4388
ORD0079,2026-05-27,Rahul,Bengaluru,Headphones,1,2085,UPI,2085
ORD0157,2026-02-16,Sneha,Bengaluru,Mouse,5,636,NetBanking,3180
ORD0067,2026-01-01,Arun,Hyderabad,Mouse,3,628,NetBanking,1884
ORD0139,2026-01-23,Karthik,Hyderabad,Keyboard,3,1090,Cash,3270
