order_id,order_date,customer_name,city,product,quantity,unit_price,payment_mode
ORD0081,2026-04-16,Priya,Mumbai,Headphones,1,Rs. 2038 ,Cash
ORD0005,12/02/2026,Sneha,Chennai,Keyboard,3,1121,Card
ORD0180,04/02/2026,Vikram,Bengaluru,headphones,1,2284,NetBanking
ORD0108,18/06/2026,Divya,Chennai,Keyboard,2,1135,Card
ORD0075,01/05/2026,Vikram,delhi,laptop,4,53330,
ORD0121,08-04-2026,Vikram,Delhi,Mouse,2,641,Card
ORD0127,2026-02-13,Priya,hyderabad,Webcam,3,1783,Card
ORD0171,2026-05-12,Divya,Bengaluru,Monitor,2,Rs.9554,Cash
ORD0064,16-01-2026,Vikram,,Monitor,2,9340,NetBanking
ORD0106,2026-02-03,Vikram,Chennai,Headphones,4,2055,
ORD0138,12/05/2026,Sneha,HYDERABAD,Monitor,4,9199,NetBanking
ORD0159,2026-03-07,Arun,Bengaluru,Headphones,4,Rs.2091,NetBanking
ORD0137,20-04-2026,Rahul,Hyderabad,Webcam,3,1949,Cash
ORD0112,26-02-2026,Karthik,  Chennai ,monitor,2,9843,UPI
ORD0172,2026-04-24,Vikram,CHENNAI,Mouse,2,588,Cash
ORD0135,2026-04-01,Divya,Bengaluru,Webcam,2,1676,NetBanking
ORD0094,25-02-2026,Priya,Delhi,Keyboard,3,1136,Card
ORD0020,2026-03-08,Kavya,Hyderabad,Keyboard,3,1132,UPI
ORD0156,2026-06-21,Karthik,Chennai,Headphones,2,2356,Cash
ORD0100,19-06-2026,Vikram,Hyderabad,Mouse,1,582,UPI
ORD0017,2026-03-13,Sneha,Mumbai,Mouse,1,588,NetBanking
ORD0147,14/06/2026,Karthik,Delhi,Webcam,3,1930,UPI
ORD0145,2026-01-08,Divya,Bengaluru,Mouse,3,601,UPI
ORD0067,2026-01-01,Arun,Hyderabad,Mouse,3,628,NetBanking
ORD0131,22-05-2026,Kavya,Chennai,Keyboard,5,1291,Cash
ORD0035,20/06/2026,Divya,Delhi,Headphones,4,2142,NetBanking
ORD0049,2026-04-24,Sneha,,Mouse,2,564,Cash
ORD0038,2026-04-25,Rahul,mumbai,Laptop,3,Rs.55263,Cash
ORD0010,2026-02-07,Kavya,Delhi,Webcam,5,1879,Cash
ORD0056,09-01-2026,Rahul,Delhi,webcam,5,1785,Cash
ORD0176,14/06/2026,Kavya,Hyderabad,Keyboard,3,1192,Cash
ORD0070,2026-05-13,Sneha,HYDERABAD,Monitor,2,8768,UPI
ORD0003,2026-01-13,Vikram,  Delhi ,keyboard,1,1106,UPI
ORD0062,2026-04-09,Sneha,  Chennai ,Mouse,1,650,NetBanking
ORD0118,2026-04-12,Sneha,Bengaluru,headphones,5,2050,NetBanking
ORD0002,01-05-2026,Divya,Bengaluru,Mouse,5,604,Card
ORD0164,01/02/2026,Karthik,HYDERABAD,Mouse,,548,NetBanking
ORD0146,2026-02-10,Sneha,Chennai,Webcam,4,1680,Card
ORD0083,2026-05-20,Karthik,Delhi,webcam,4,1786,Card
ORD0057,09/02/2026,Divya,Mumbai,Headphones,4,2313,Cash
ORD0028,2026-05-22,Arun,,Webcam,4,1880,Cash
ORD0044,2026-04-04,Karthik,Bengaluru,Monitor,4,10234,Cash
ORD0160,2026-03-18,Divya,Mumbai,Monitor,2,10424,NetBanking
ORD0120,23/01/2026,Sneha,Hyderabad,Keyboard,3,1250,Card
ORD0052,2026-04-13,Sneha,Delhi,Headphones,5,2095,UPI
ORD0167,2026-04-13,Karthik,Chennai,Webcam,1,Rs.1636,NetBanking
ORD0033,15/04/2026,Rahul,Mumbai,Monitor,1,9801,UPI
ORD0136,18/03/2026,Karthik,Delhi,Mouse,2,606,Cash
ORD0154,08-06-2026,Divya,mumbai,Headphones,1,2324,UPI
ORD0013,19-02-2026,Priya,chennai,Headphones,2,2263,UPI
ORD0061,2026-06-16,Sneha,Mumbai,Laptop,2,60112,Card
ORD0073,2026-02-27,Karthik,Hyderabad,Headphones,3,Rs.2236,UPI
ORD0123,14-05-2026,Priya,delhi,Headphones,2,2073,Card
ORD0065,2026-03-26,Divya,Chennai,Mouse,4,549,NetBanking
ORD0004,19/02/2026,Priya,Chennai,Webcam,3,1936,Card
ORD0078,13-03-2026,Priya,,Webcam,1,1803,UPI
ORD0029,2026-01-17,Rahul,HYDERABAD,Keyboard,5,1191,Card
ORD0071,27-03-2026,Vikram,Bengaluru,Laptop,4,59435,Card
ORD0021,17-03-2026,Vikram,Chennai,Laptop,2,58308,Cash
ORD0003,2026-01-13,Vikram,  Delhi ,keyboard,1,1106,UPI
ORD0114,2026-02-11,Karthik,,Webcam,4,1845,NetBanking
ORD0153,07-06-2026,Arun,Mumbai,Keyboard,3,1119,
ORD0032,2026-01-22,Vikram,Chennai,Monitor,2,10175,
ORD0166,2026-03-09,Divya,Chennai,Mouse,5,619,Card
ORD0087,25/05/2026,Arun,Delhi,Monitor,5,10280,Card
ORD0178,2026-02-23,Sneha,Chennai,Headphones,4,1993,NetBanking
ORD0084,2026-01-24,Divya,,Monitor,4,9366,NetBanking
